sku,name,base_image,small_image,thumbnail_image,additional_images,store_view_code,attribute_set_code,product_type,categories,product_websites,description,tax_class_name,visibility,price,url_key,meta_title,qty
Bàn thông minh Epione SmartDesk Pro,Bàn thông minh Epione SmartDesk Pro,accessories/xu-0552.jpg,accessories/xu-0552.jpg,accessories/xu-0552.jpg,accessories/xu-0552.jpg,,Default,simple,"Root,Root/Accessories",base,Bàn thông minh Epione SmartDesk Pro,Taxable Goods,"Catalog, Search",326.57,accessories/xu-0552.,Bàn thông minh Epione SmartDesk Pro,26
Bàn phím cơ Newmen GM840 Dual Mode,Bàn phím cơ Newmen GM840 Dual Mode,accessories/newmen-gm840-1.jpg,accessories/newmen-gm840-1.jpg,accessories/newmen-gm840-1.jpg,accessories/newmen-gm840-1.jpg,,Default,simple,"Root,Root/Accessories",base,Bàn phím cơ Newmen GM840 Dual Mode,Taxable Goods,"Catalog, Search",63.66,accessories/newmen-gm840-1.,Bàn phím cơ Newmen GM840 Dual Mode,26
Bàn Phím Cơ Newmen GM680,Bàn Phím Cơ Newmen GM680,accessories/ban-phim-co-khong-day-newmen-gm680-dual-mode-6.jpg,accessories/ban-phim-co-khong-day-newmen-gm680-dual-mode-6.jpg,accessories/ban-phim-co-khong-day-newmen-gm680-dual-mode-6.jpg,accessories/ban-phim-co-khong-day-newmen-gm680-dual-mode-6.jpg,,Default,simple,"Root,Root/Accessories",base,Bàn Phím Cơ Newmen GM680,Taxable Goods,"Catalog, Search",60.6,accessories/ban-phim-co-khong-day-newmen-gm680-dual-mode-6.,Bàn Phím Cơ Newmen GM680,26
Bàn phím cơ AKKO 5108 World Tour Tokyo R2 SP,Bàn phím cơ AKKO 5108 World Tour Tokyo R2 SP,accessories/ban-phim-co-akko-5108-world-tour-tokyo-r2-sp-ava.jpg,accessories/ban-phim-co-akko-5108-world-tour-tokyo-r2-sp-ava.jpg,accessories/ban-phim-co-akko-5108-world-tour-tokyo-r2-sp-ava.jpg,accessories/ban-phim-co-akko-5108-world-tour-tokyo-r2-sp-ava.jpg,,Default,simple,"Root,Root/Accessories",base,Bàn phím cơ AKKO 5108 World Tour Tokyo R2 SP,Taxable Goods,"Catalog, Search",95.88,accessories/ban-phim-co-akko-5108-world-tour-tokyo-r2-sp-ava.,Bàn phím cơ AKKO 5108 World Tour Tokyo R2 SP,47
Bàn phím cơ AKKO 3098B Multi-modes World Tour Tokyo R2,Bàn phím cơ AKKO 3098B Multi-modes World Tour Tokyo R2,accessories/ban-phim-co-akko-3098b-multi-modes-world-tour-tokyo-r2-ava-510x631.jpg,accessories/ban-phim-co-akko-3098b-multi-modes-world-tour-tokyo-r2-ava-510x631.jpg,accessories/ban-phim-co-akko-3098b-multi-modes-world-tour-tokyo-r2-ava-510x631.jpg,accessories/ban-phim-co-akko-3098b-multi-modes-world-tour-tokyo-r2-ava-510x631.jpg,,Default,simple,"Root,Root/Accessories",base,Bàn phím cơ AKKO 3098B Multi-modes World Tour Tokyo R2,Taxable Goods,"Catalog, Search",93.7,accessories/ban-phim-co-akko-3098b-multi-modes-world-tour-tokyo-r2-ava-510x631.,Bàn phím cơ AKKO 3098B Multi-modes World Tour Tokyo R2,29
Bàn phím cơ AKKO 3098B Multi-modes Prunus Lannesiana,Bàn phím cơ AKKO 3098B Multi-modes Prunus Lannesiana,accessories/ban-phim-co-akko-3098b-multi-modes-prunus-pannesiana-ava1-510x631.jpg,accessories/ban-phim-co-akko-3098b-multi-modes-prunus-pannesiana-ava1-510x631.jpg,accessories/ban-phim-co-akko-3098b-multi-modes-prunus-pannesiana-ava1-510x631.jpg,accessories/ban-phim-co-akko-3098b-multi-modes-prunus-pannesiana-ava1-510x631.jpg,,Default,simple,"Root,Root/Accessories",base,Bàn phím cơ AKKO 3098B Multi-modes Prunus Lannesiana,Taxable Goods,"Catalog, Search",91.13,accessories/ban-phim-co-akko-3098b-multi-modes-prunus-pannesiana-ava1-510x631.,Bàn phím cơ AKKO 3098B Multi-modes Prunus Lannesiana,32
Chuột không dây Lenovo ThinkPad Laser Wireless Mouse Mice-Black,Chuột không dây Lenovo ThinkPad Laser Wireless Mouse Mice-Black,accessories/mouse-thinkpad.jpg,accessories/mouse-thinkpad.jpg,accessories/mouse-thinkpad.jpg,accessories/mouse-thinkpad.jpg,,Default,simple,"Root,Root/Accessories",base,Chuột không dây Lenovo ThinkPad Laser Wireless Mouse Mice-Black,Taxable Goods,"Catalog, Search",21.76,accessories/mouse-thinkpad.,Chuột không dây Lenovo ThinkPad Laser Wireless Mouse Mice-Black,35
Bàn phím cơ Keychron Q1 QMK Custom,Bàn phím cơ Keychron Q1 QMK Custom,accessories/thinkpro-keychron-q1.jpg,accessories/thinkpro-keychron-q1.jpg,accessories/thinkpro-keychron-q1.jpg,accessories/thinkpro-keychron-q1.jpg,,Default,simple,"Root,Root/Accessories",base,Bàn phím cơ Keychron Q1 QMK Custom,Taxable Goods,"Catalog, Search",195.77,accessories/thinkpro-keychron-q1.,Bàn phím cơ Keychron Q1 QMK Custom,35
Bàn phím cơ AKKO 3084 v2 ASA,Bàn phím cơ AKKO 3084 v2 ASA,accessories/ban-phim-co-akko-3084-v2-asa-black-pink-01-510x631.jpg,accessories/ban-phim-co-akko-3084-v2-asa-black-pink-01-510x631.jpg,accessories/ban-phim-co-akko-3084-v2-asa-black-pink-01-510x631.jpg,accessories/ban-phim-co-akko-3084-v2-asa-black-pink-01-510x631.jpg,,Default,simple,"Root,Root/Accessories",base,Bàn phím cơ AKKO 3084 v2 ASA,Taxable Goods,"Catalog, Search",63.18,accessories/ban-phim-co-akko-3084-v2-asa-black-pink-01-510x631.,Bàn phím cơ AKKO 3084 v2 ASA,26
Bàn Phím Cơ Razer BlackWidow FullSize,Bàn Phím Cơ Razer BlackWidow FullSize,accessories/54078-ban-phim-co-razer-blackwidow-green-switch-rz03-02860100-r3m1-0000-1.jpg,accessories/54078-ban-phim-co-razer-blackwidow-green-switch-rz03-02860100-r3m1-0000-1.jpg,accessories/54078-ban-phim-co-razer-blackwidow-green-switch-rz03-02860100-r3m1-0000-1.jpg,accessories/54078-ban-phim-co-razer-blackwidow-green-switch-rz03-02860100-r3m1-0000-1.jpg,,Default,simple,"Root,Root/Accessories",base,Bàn Phím Cơ Razer BlackWidow FullSize,Taxable Goods,"Catalog, Search",130.76,accessories/54078-ban-phim-co-razer-blackwidow-green-switch-rz03-02860100-r3m1-0000-1.,Bàn Phím Cơ Razer BlackWidow FullSize,41
