sku,name,base_image,small_image,thumbnail_image,additional_images,store_view_code,attribute_set_code,product_type,categories,product_websites,description,tax_class_name,visibility,price,url_key,meta_title,qty
Razer Blade 15 Base,Razer Blade 15 Base,Blade15_Base_2018_00.jpg,Blade15_Base_2018_00.jpg,Blade15_Base_2018_00.jpg,Blade15_Base_2018_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Razer",base,Razer Blade 15 Base,Taxable Goods,"Catalog, Search",1198.58,Blade15_Base_2018_00.,Razer Blade 15 Base,23
Razer Book 13,Razer Book 13,RZBook_00.jpg,RZBook_00.jpg,RZBook_00.jpg,RZBook_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Razer",base,Razer Book 13,Taxable Goods,"Catalog, Search",1394.78,RZBook_00.,Razer Book 13,29
LG Gram 13,LG Gram 13,gram13_00.jpg,gram13_00.jpg,gram13_00.jpg,gram13_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/LG",base,LG Gram 13,Taxable Goods,"Catalog, Search",827.97,gram13_00.,LG Gram 13,20
Surface Pro 6,Surface Pro 6,surfacepro6-0.jpg,surfacepro6-0.jpg,surfacepro6-0.jpg,surfacepro6-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Microsoft",base,Surface Pro 6,Taxable Goods,"Catalog, Search",740.77,surfacepro6-0.,Surface Pro 6,29
Razer Blade 15 Base Edition (Quartz Pink),Razer Blade 15 Base Edition (Quartz Pink),razer-blade-15-base-edition-quartz-pink.jpg,razer-blade-15-base-edition-quartz-pink.jpg,razer-blade-15-base-edition-quartz-pink.jpg,razer-blade-15-base-edition-quartz-pink.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Razer",base,Razer Blade 15 Base Edition (Quartz Pink),Taxable Goods,"Catalog, Search",1917.99,razer-blade-15-base-edition-quartz-pink.,Razer Blade 15 Base Edition (Quartz Pink),35
LG Gram 14'' 2021,LG Gram 14'' 2021,gram14-21-white-0.jpg,gram14-21-white-0.jpg,gram14-21-white-0.jpg,gram14-21-white-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/LG",base,LG Gram 14'' 2021,Taxable Goods,"Catalog, Search",1338.54,gram14-21-white-0.,LG Gram 14'' 2021,23
"Surface Laptop 2 13.5""","Surface Laptop 2 13.5""",sflap1blue-00.jpg,sflap1blue-00.jpg,sflap1blue-00.jpg,sflap1blue-00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Microsoft",base,"Surface Laptop 2 13.5""",Taxable Goods,"Catalog, Search",958.78,sflap1blue-00.,"Surface Laptop 2 13.5""",35
MSI Modern 14 B11,MSI Modern 14 B11,modern14-b11-bluestone-0.jpg,modern14-b11-bluestone-0.jpg,modern14-b11-bluestone-0.jpg,modern14-b11-bluestone-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/MSI",base,MSI Modern 14 B11,Taxable Goods,"Catalog, Search",618.69,modern14-b11-bluestone-0.,MSI Modern 14 B11,47
Acer TravelMate B3,Acer TravelMate B3,acer-travelmate-b-tmb311-31-thinkpro.jpg,acer-travelmate-b-tmb311-31-thinkpro.jpg,acer-travelmate-b-tmb311-31-thinkpro.jpg,acer-travelmate-b-tmb311-31-thinkpro.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Acer",base,Acer TravelMate B3,Taxable Goods,"Catalog, Search",435.57,acer-travelmate-b-tmb311-31-thinkpro.,Acer TravelMate B3,23
New Razer Blade 15 Base Edition,New Razer Blade 15 Base Edition,Blade15_Base_2020_00.jpg,Blade15_Base_2020_00.jpg,Blade15_Base_2020_00.jpg,Blade15_Base_2020_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Razer",base,New Razer Blade 15 Base Edition,Taxable Goods,"Catalog, Search",2179.59,Blade15_Base_2020_00.,New Razer Blade 15 Base Edition,38
Laptop Hp 340s G7,Laptop Hp 340s G7,hp-340s-g7-thinkpro-thumbnail.jpg,hp-340s-g7-thinkpro-thumbnail.jpg,hp-340s-g7-thinkpro-thumbnail.jpg,hp-340s-g7-thinkpro-thumbnail.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/HP",base,Laptop Hp 340s G7,Taxable Goods,"Catalog, Search",518.41,hp-340s-g7-thinkpro-thumbnail.,Laptop Hp 340s G7,35
Lenovo Ideapad 1 (Chính hãng),Lenovo Ideapad 1 (Chính hãng),ideapad-1-11igl05-ct1-05-thinkpro-1.jpg,ideapad-1-11igl05-ct1-05-thinkpro-1.jpg,ideapad-1-11igl05-ct1-05-thinkpro-1.jpg,ideapad-1-11igl05-ct1-05-thinkpro-1.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Lenovo",base,Lenovo Ideapad 1 (Chính hãng),Taxable Goods,"Catalog, Search",370.17,ideapad-1-11igl05-ct1-05-thinkpro-1.,Lenovo Ideapad 1 (Chính hãng),26
